"publication_id","ai_subfield"
"W4226058932","graph neural networks"
"W3165692101","General AI"
"W4213235856","graph neural networks"
"W4389359039","General AI"
"W3135013702","graph neural networks"
"W2960994981","General AI"
"W3191490876","graph neural networks"
"W2980856918","General AI"
"W4391661565","federated learning"
"W4391661565","graph neural networks"
"W2981458781","General AI"
"W2964121960","General AI"
"W2966720510","graph neural networks"
"W4389437528","natural language processing"
"W4389437528","transformer architecture"
"W3010488723","General AI"
"W2967550017","General AI"
"W3122007073","General AI"
"W3126814579","General AI"
"W3010655531","computer vision"
"W3010655531","generative ai"
"W3167586364","graph neural networks"
"W3167586364","reinforcement learning"
"W2980030301","computer vision"
"W3035142875","General AI"
"W2973049920","General AI"
"W4214940715","computer vision"
"W4295788744","General AI"
"W3179436811","graph neural networks"
"W3112170415","General AI"
"W3024644820","General AI"
"W2927135077","General AI"
"W2944779716","General AI"
"W3166943242","General AI"
"W4322732093","graph neural networks"
"W3172787012","computer vision"
"W3172787012","graph neural networks"
"W2997806454","General AI"
"W3101230421","General AI"
"W3000983008","General AI"
"W2917580301","General AI"
"W4297325261","General AI"
"W3173225380","graph neural networks"
"W3102511045","General AI"
"W3213123713","graph neural networks"
"W2947123069","neural architecture search"
"W3024912007","General AI"
"W2990955039","General AI"
"W4282828305","General AI"
"W2935339072","General AI"
"W4311843323","General AI"
"W3163849331","General AI"
"W4214575762","computer vision"
"W3037891846","General AI"
"W2912052494","General AI"
"W2988716771","General AI"
"W2961079966","computer vision"
"W4210683801","computer vision"
"W3006630858","General AI"
"W3004925702","computer vision"
"W2969468266","General AI"
"W3091948139","General AI"
"W3173078903","General AI"
"W3216383863","General AI"
"W3174048174","graph neural networks"
"W4386723917","neural architecture search"
"W3080510905","graph neural networks"
"W3185377372","computer vision"
"W4391615642","natural language processing"
"W2976269899","General AI"
"W4390506881","General AI"
"W4383913712","natural language processing"
"W4383913712","transformer architecture"
"W3149631275","computer vision"
"W4386380023","General AI"
"W2963682501","computer vision"
"W2995109209","explainable ai"
"W3123899295","General AI"
"W4235275829","General AI"
"W2997777902","General AI"
"W2884775584","General AI"
"W4322627364","computer vision"
"W4322627364","graph neural networks"
"W3163885127","computer vision"
"W3184400519","General AI"
"W3092027164","graph neural networks"
"W3171764584","graph neural networks"
"W4387350610","General AI"
"W2955951197","General AI"
"W3111813289","computer vision"
"W3111813289","graph neural networks"
"W2969077220","General AI"
"W3217355560","graph neural networks"
"W2908883246","generative ai"
"W3013732669","computer vision"
"W3013732669","graph neural networks"
"W3006389498","General AI"
"W2981899103","computer vision"
