date_key,date,year,quarter,month,month_name,week_of_year,is_conference_season
20200207,2020-02-07,2020,1,2,February,6,False
20200208,2020-02-08,2020,1,2,February,6,False
20200209,2020-02-09,2020,1,2,February,6,False
20200210,2020-02-10,2020,1,2,February,7,False
20200211,2020-02-11,2020,1,2,February,7,False
20200212,2020-02-12,2020,1,2,February,7,False
20200213,2020-02-13,2020,1,2,February,7,False
20200214,2020-02-14,2020,1,2,February,7,False
20200215,2020-02-15,2020,1,2,February,7,False
20200216,2020-02-16,2020,1,2,February,7,False
20200217,2020-02-17,2020,1,2,February,8,False
20200218,2020-02-18,2020,1,2,February,8,False
20200219,2020-02-19,2020,1,2,February,8,False
20200220,2020-02-20,2020,1,2,February,8,False
20200221,2020-02-21,2020,1,2,February,8,False
20200222,2020-02-22,2020,1,2,February,8,False
20200223,2020-02-23,2020,1,2,February,8,False
20200224,2020-02-24,2020,1,2,February,9,False
20200225,2020-02-25,2020,1,2,February,9,False
20200226,2020-02-26,2020,1,2,February,9,False
20200227,2020-02-27,2020,1,2,February,9,False
20200228,2020-02-28,2020,1,2,February,9,False
20200229,2020-02-29,2020,1,2,February,9,False
20200301,2020-03-01,2020,1,3,March,9,True
20200302,2020-03-02,2020,1,3,March,10,True
20200303,2020-03-03,2020,1,3,March,10,True
20200304,2020-03-04,2020,1,3,March,10,True
20200305,2020-03-05,2020,1,3,March,10,True
20200306,2020-03-06,2020,1,3,March,10,True
20200307,2020-03-07,2020,1,3,March,10,True
20200308,2020-03-08,2020,1,3,March,10,True
20200309,2020-03-09,2020,1,3,March,11,True
20200310,2020-03-10,2020,1,3,March,11,True
20200311,2020-03-11,2020,1,3,March,11,True
20200312,2020-03-12,2020,1,3,March,11,True
20200313,2020-03-13,2020,1,3,March,11,True
20200314,2020-03-14,2020,1,3,March,11,True
20200315,2020-03-15,2020,1,3,March,11,True
20200316,2020-03-16,2020,1,3,March,12,True
20200317,2020-03-17,2020,1,3,March,12,True
20200318,2020-03-18,2020,1,3,March,12,True
20200319,2020-03-19,2020,1,3,March,12,True
20200320,2020-03-20,2020,1,3,March,12,True
20200321,2020-03-21,2020,1,3,March,12,True
20200322,2020-03-22,2020,1,3,March,12,True
20200323,2020-03-23,2020,1,3,March,13,True
20200324,2020-03-24,2020,1,3,March,13,True
20200325,2020-03-25,2020,1,3,March,13,True
20200326,2020-03-26,2020,1,3,March,13,True
20200327,2020-03-27,2020,1,3,March,13,True
20200328,2020-03-28,2020,1,3,March,13,True
20200329,2020-03-29,2020,1,3,March,13,True
20200330,2020-03-30,2020,1,3,March,14,True
20200331,2020-03-31,2020,1,3,March,14,True
20200401,2020-04-01,2020,2,4,April,14,True
20200402,2020-04-02,2020,2,4,April,14,True
20200403,2020-04-03,2020,2,4,April,14,True
20200404,2020-04-04,2020,2,4,April,14,True
20200405,2020-04-05,2020,2,4,April,14,True
20200406,2020-04-06,2020,2,4,April,15,True
20200407,2020-04-07,2020,2,4,April,15,True
20200408,2020-04-08,2020,2,4,April,15,True
20200409,2020-04-09,2020,2,4,April,15,True
20200410,2020-04-10,2020,2,4,April,15,True
20200411,2020-04-11,2020,2,4,April,15,True
20200412,2020-04-12,2020,2,4,April,15,True
20200413,2020-04-13,2020,2,4,April,16,True
20200414,2020-04-14,2020,2,4,April,16,True
20200415,2020-04-15,2020,2,4,April,16,True
20200416,2020-04-16,2020,2,4,April,16,True
20200417,2020-04-17,2020,2,4,April,16,True
20200418,2020-04-18,2020,2,4,April,16,True
20200419,2020-04-19,2020,2,4,April,16,True
20200420,2020-04-20,2020,2,4,April,17,True
20200421,2020-04-21,2020,2,4,April,17,True
20200422,2020-04-22,2020,2,4,April,17,True
20200423,2020-04-23,2020,2,4,April,17,True
20200424,2020-04-24,2020,2,4,April,17,True
20200425,2020-04-25,2020,2,4,April,17,True
20200426,2020-04-26,2020,2,4,April,17,True
20200427,2020-04-27,2020,2,4,April,18,True
20200428,2020-04-28,2020,2,4,April,18,True
20200429,2020-04-29,2020,2,4,April,18,True
20200430,2020-04-30,2020,2,4,April,18,True
20200501,2020-05-01,2020,2,5,May,18,True
20200502,2020-05-02,2020,2,5,May,18,True
20200503,2020-05-03,2020,2,5,May,18,True
20200504,2020-05-04,2020,2,5,May,19,True
20200505,2020-05-05,2020,2,5,May,19,True
20200506,2020-05-06,2020,2,5,May,19,True
20200507,2020-05-07,2020,2,5,May,19,True
20200508,2020-05-08,2020,2,5,May,19,True
20200509,2020-05-09,2020,2,5,May,19,True
20200510,2020-05-10,2020,2,5,May,19,True
20200511,2020-05-11,2020,2,5,May,20,True
20200512,2020-05-12,2020,2,5,May,20,True
20200513,2020-05-13,2020,2,5,May,20,True
20200514,2020-05-14,2020,2,5,May,20,True
20200515,2020-05-15,2020,2,5,May,20,True
20200516,2020-05-16,2020,2,5,May,20,True
20200517,2020-05-17,2020,2,5,May,20,True
20200518,2020-05-18,2020,2,5,May,21,True
20200519,2020-05-19,2020,2,5,May,21,True
20200520,2020-05-20,2020,2,5,May,21,True
20200521,2020-05-21,2020,2,5,May,21,True
20200522,2020-05-22,2020,2,5,May,21,True
20200523,2020-05-23,2020,2,5,May,21,True
20200524,2020-05-24,2020,2,5,May,21,True
20200525,2020-05-25,2020,2,5,May,22,True
20200526,2020-05-26,2020,2,5,May,22,True
20200527,2020-05-27,2020,2,5,May,22,True
20200528,2020-05-28,2020,2,5,May,22,True
20200529,2020-05-29,2020,2,5,May,22,True
20200530,2020-05-30,2020,2,5,May,22,True
20200531,2020-05-31,2020,2,5,May,22,True
20200601,2020-06-01,2020,2,6,June,23,True
20200602,2020-06-02,2020,2,6,June,23,True
20200603,2020-06-03,2020,2,6,June,23,True
20200604,2020-06-04,2020,2,6,June,23,True
20200605,2020-06-05,2020,2,6,June,23,True
20200606,2020-06-06,2020,2,6,June,23,True
20200607,2020-06-07,2020,2,6,June,23,True
20200608,2020-06-08,2020,2,6,June,24,True
20200609,2020-06-09,2020,2,6,June,24,True
20200610,2020-06-10,2020,2,6,June,24,True
20200611,2020-06-11,2020,2,6,June,24,True
20200612,2020-06-12,2020,2,6,June,24,True
