"author_id","author_name","orcid","h_index_current","total_citations","total_papers","primary_institution_id","country","years_active","is_prolific","has_institution"
"A5014061286","Ri Tang","0000-0003-0137-2917","11","427","34","I183067930","CN","13","False","True"
"A5089428149","Arthur P. Guillaumin","0000-0003-1571-4228","7","297","23","","","8","False","False"
"A5028145127","Sushravya Raghunath","0000-0001-7623-3095","15","1729","64","","","15","False","False"
"A5066502175","Sundas Matloob","","1","38","1","I184681353","CN","1","False","True"
"A5082895926","Yundi Chu","0000-0002-3678-2142","11","787","25","I163340411","CN","15","False","True"
"A5090320352","Patricia Melín","0000-0001-5798-1426","84","21893","1150","I4210090124","MX","81","True","True"
"A5100657921","Haiping Zhang","0000-0003-2133-1768","31","3629","243","I119868032","CN","24","True","True"
"A5103130740","Pengxu Jiang","0000-0002-2946-7806","1","101","3","","","7","False","False"
"A5018453793","Jackson K. Wilt","0000-0002-0023-4566","8","397","13","","","7","False","False"
"A5022057977","Zhengyu Chen","0000-0002-9863-556X","6","114","16","I4210087373","CN","3","False","True"
"A5022339119","Raffaele Filieri","0000-0002-3534-8547","51","13253","170","I161463649","FR","19","False","True"
"A5038486497","Seyed‐Hassan Miraei Ashtiani","0000-0001-7135-3493","20","1306","25","I129902397","CA","14","False","True"
"A5066356768","Sima Siami‐Namini","0000-0002-0320-352X","12","3028","50","I145311948","US","21","False","True"
"A5017194640","Mavra Mehmood","","4","265","4","I148520331","PK","2","False","True"
"A5044251888","Emir YÜZBAŞIOĞLU","0000-0001-5348-6954","15","1757","52","I4210136215","BE","21","False","True"
"A5100338179","Wenwen Li","0000-0003-2237-9499","44","6859","462","I12411659","CN","30","True","True"
"A5022376480","Ayush Jain","0000-0003-3699-6623","11","1008","98","I1291425158","US","55","False","True"
"A5021672440","Armando Bedoya","0000-0001-6496-7024","18","1464","65","I170897317","US","16","False","True"
"A5082859766","Marina Codari","0000-0001-8475-2071","24","3886","114","I97018004","US","13","False","True"
"A2030288916","Mirto Musci","0000-0002-3868-3738","2","150","2","","","1","False","False"
"A5103032733","Elsayed Said Mohamed","0000-0001-5888-525X","9","683","19","","","15","False","False"
"A5050375559","Sean Hartling","","10","2120","11","I47838141","US","9","False","True"
"A5063934370","Falk Schwendicke","0000-0003-1223-1669","87","116450","605","I3018771216","DE","52","True","True"
"A5073530240","Osama Sohaib","0000-0001-9287-5995","21","1720","102","I114017466","AU","16","False","True"
"A5011735043","Vishnu Kandimalla","","1","98","2","I129902397","CA","2","False","True"
"A5066012880","Ning Hung","","7","265","12","","","19","False","False"
"A5035065122","Turgay Ertekin","0000-0003-4698-0211","32","4505","274","I130769515","US","51","False","True"
"A5013579962","Ya Lu","0000-0003-0795-4483","11","436","33","I118564535","CH","11","False","True"
"A5040685421","Jen-Yin Yeh","0000-0002-9717-0828","5","184","17","I1309796872","TW","18","False","True"
"A5006439193","Sanjit Bhat","0000-0001-8107-6485","3","233","4","","","16","False","False"
"A5063456975","Valentina Villamil","","3","62","6","I168635309","CA","4","False","True"
"A2772558931","Shaoxing Mo","0000-0003-2831-4805","2","598","3","","","1","False","False"
"A5055893142","Nilesh Anute","0000-0001-6599-813X","7","145","129","I4210115345","IN","11","True","True"
"A2140121375","Matthias Langer","0000-0001-8690-1106","2","22","23","","","1","True","False"
"A5100740494","Yue Fei","0000-0001-6723-036X","23","3325","178","I204553293","CN","28","False","True"
"A2170679935","Mingzhen Li","0000-0001-7167-2646","2","178","20","","","1","True","False"
"A5105511988","H. Qu","0000-0002-0250-8655","48","12004","434","I67311998","CH","21","True","True"
"A5053587604","Ali Lashkaripour","0000-0002-1734-9634","12","703","25","","","11","False","False"
"A5101961582","Siddhartha Mishra","0000-0002-2665-5385","37","5161","239","I35440088","CH","48","False","True"
"A5079203449","Saim Khalid","0009-0008-9854-4909","1","74","1","I200749728","PK","1","False","True"
"A5029031687","Zifeng Guo","0000-0002-5765-1694","7","488","18","I35440088","CH","26","False","True"
"A5054119243","Mashael Khayyat","0000-0003-3770-432X","17","967","82","I4210099699","SA","14","False","True"
"A5057530239","Dai Kusumoto","0000-0002-2906-5516","17","1651","41","I203951103","JP","16","False","True"
"A5053410790","Rita Casadio","0000-0002-7462-7039","67","22753","569","I4210148743","IT","52","True","True"
"A5012002701","Hamidreza Jahangir","0000-0003-4462-1370","14","1164","28","I39555362","GB","15","False","True"
"A5029029867","Wahab Khan","0000-0002-5694-0419","17","1125","89","I1289422878","US","16","False","True"
"A5047272417","Fabio Broccatelli","0000-0002-0724-9752","21","2071","46","","","16","False","False"
"A5093919645","Md Rasheduzzaman Labu","","2","43","3","","","1","False","False"
"A5081531184","K. M. Faizullah Fuhad","","2","173","3","I157386601","BD","1","False","True"
"A5091714241","Alexandra Sasha Luccioni","0000-0001-6238-7050","22","3370","69","","","11","False","False"
"A5000676745","G. E. Spoorthi","","4","491","4","I4210109292","IN","3","False","True"
"A5005220098","Sidrah Liaqat","0000-0001-6727-0791","7","228","18","I7882870","GB","14","False","True"
"A5005657243","Huimin Huang","0009-0003-8107-5839","21","3765","130","I2250653659","CN","36","False","True"
"A5103097769","Jiang Qing-sheng","0000-0002-0516-9775","1","62","3","I55712492","CN","15","False","True"
"A5101691076","Tianming Zhao","0000-0003-3365-1726","2","174","4","I27357992","CN","6","False","True"
"A5021368755","Xinhan Di","0009-0001-8855-8628","7","972","50","","","41","False","False"
"A5040096140","Tomasz Tarasiewicz","0000-0002-7706-1317","6","151","21","I119004910","PL","6","False","True"
"A5051919832","Edward Korot","0000-0002-5687-1564","16","1772","54","I1325675289","GB","11","False","True"
"A5039986288","Andronicus A. Akinyelu","0000-0003-2172-0755","14","1972","26","","","12","False","False"
"A5046663348","Ola Spjuth","0000-0002-8083-2864","38","5167","289","I123387679","SE","21","True","True"
